College Name,District,Type,Affiliation
Government Arts College Ariyalur,Ariyalur,Government,Directorate of Collegiate Education
Government Arts and Science College Jayankondam,Ariyalur,Government,Directorate of Collegiate Education
Government Arts and Science College Perumbakkam Chennai,Chengalpattu,Government,Directorate of Collegiate Education
Government Arts and Science College ECR Nemmeli,Chengalpattu,Government,Directorate of Collegiate Education
Rajeswari Vedachalam Government Arts College Chengalpattu,Chengalpattu,Government,Directorate of Collegiate Education
Government Arts and Science College Cheyyur,Chengalpattu,Government,Directorate of Collegiate Education
Presidency College Chennai,Chennai,Government,Directorate of Collegiate Education
Queen Mary's College Mylapore Chennai,Chennai,Government,Directorate of Collegiate Education
Bharathi Womens College Chennai,Chennai,Government,Directorate of Collegiate Education
Government Arts College Nandanam Chennai,Chennai,Government,Directorate of Collegiate Education
Dr.Ambedkar Government Arts College Vyasarpadi Chennai,Chennai,Government,Directorate of Collegiate Education
Quaid-E-Millath Government College for Women Anna Salai Chennai,Chennai,Government,Directorate of Collegiate Education
Government Arts and Science College Dr.RK Nagar Chennai,Chennai,Government,Directorate of Collegiate Education
Government Arts and Science College Alandur,Chennai,Government,Directorate of Collegiate Education
Government Arts College Coimbatore,Coimbatore,Government,Directorate of Collegiate Education
Government Arts and Science College Mettupalayam,Coimbatore,Government,Directorate of Collegiate Education
Government Arts and Science College Valparai,Coimbatore,Government,Directorate of Collegiate Education
Government Arts and Science College Pollachi,Coimbatore,Government,Directorate of Collegiate Education
Government Arts and Science College Thondamuthur,Coimbatore,Government,Directorate of Collegiate Education
Government Arts and Science College for Women Puliyakulam Coimbatore,Coimbatore,Government,Directorate of Collegiate Education
Periyar Arts College Cuddalore,Cuddalore,Government,Directorate of Collegiate Education
Thiru Kolanjiappar Government Arts College Virudhachalam,Cuddalore,Government,Directorate of Collegiate Education
Government Arts College Chidambaram,Cuddalore,Government,Directorate of Collegiate Education
Manbumigu Dr Puratchi Thalaivar M.G.R Government Arts and Science College Kattumannar Koil,Cuddalore,Government,Directorate of Collegiate Education
Government Arts and Science College Tittakkudi,Cuddalore,Government,Directorate of Collegiate Education
